4428529664	naive	1	16384	input_real.txt	237908	44810436608
4428529664	naive	2	16384	input_real.txt	533615	44810436608
4428529664	kmp	1	16384	input_real.txt	523634	123539661474
2355546112	naive	1	16384	input_long_latin.txt	269198	47685734400
2355546112	naive	2	16384	input_long_latin.txt	602663	47685734400
2355546112	kmp	1	16384	input_long_latin.txt	508674	117688513685
5307891712	naive	1	16384	input_kmp_win.txt	56559	10689611776
5307891712	naive	2	16384	input_kmp_win.txt	137509	10689611776
5307891712	naive	4	16384	input_kmp_win.txt	174164	10689611776
5307891712	naive	8	16384	input_kmp_win.txt	165573	10689611776
5307891712	naive	12	16384	input_kmp_win.txt	156597	10689611776
5307891712	kmp	1	16384	input_kmp_win.txt	118836	28135194675
5307891712	kmp	2	16384	input_kmp_win.txt	270395	28135189466
5307891712	kmp	4	16384	input_kmp_win.txt	362387	28135188766
5307891712	kmp	8	16384	input_kmp_win.txt	288589	28135203800
1073741824	naive	1	16384	input_ab.txt	22613.3	3221241853
1073741824	naive	2	16384	input_ab.txt	54795.9	3221241853
1073741824	naive	4	16384	input_ab.txt	69800.2	3221241853
1073741824	naive	8	16384	input_ab.txt	63223.2	3221241853
1073741824	naive	12	16384	input_ab.txt	59419.3	3221241853
1073741824	naive	16	16384	input_ab.txt	62258	3221241853
1073741824	naive	24	16384	input_ab.txt	55398.4	3221241853
1073741824	kmp	1	16384	input_ab.txt	39472.6	10060218458
1073741824	kmp	2	16384	input_ab.txt	81023.2	10060893479
1073741824	kmp	4	16384	input_ab.txt	124664	10061372571
1073741824	kmp	8	16384	input_ab.txt	92513.5	10060603154
1073741824	kmp	12	16384	input_ab.txt	106028	10060368286
1073741824	kmp	16	16384	input_ab.txt	104042	10060325411
1073741824	kmp	24	16384	input_ab.txt	98576.6	10060233965
